Frame,,,,
,,,,
MK3.1 Frame,,,,Currently the only option.
,Extrusion,,,
,,M5 Stamped T-Nut,50,Most post assembly T-Nuts should work for this.
,,M3 Stamped T-Nut,14,Most post assembly T-Nuts should work for this.
,,M5 Drop In T-Nut,4,These are for the side covers.
,,MakerBeam XL T-Nut,10,
,,1515x182 Extrusion,1,Use misumi or makerbeam XL. Both ends should be tapped.
,,2020x172 Extrusion,1,Use misumi or a comparable replacement. Both ends should be tapped. Don't use V slot extrusions.
,,2020x200 Extrusion,1,Use misumi or a comparable replacement. Both ends should be tapped. Don't use V slot extrusions.
,,2040x187 Extrusion,1,Use misumi or a comparable replacement. Both ends should be tapped. Don't use V slot extrusions.
,,4040x272.5 Extrusion,1,Use misumi or a comparable replacement. Both ends should be tapped. Don't use V slot extrusions.
,Motion,,,
,,MGN12Hx170mm Rail and Carriage,2,These are not a standard length and will need to be cut. There are a few places that offer rails cut to length or they can be cut down using a dremel with a cutoff wheel.
,,MGN9Hx180mm Rail and Carriage,1,A few places including KB3D offer it in this length.
,,20T Pulley for 6mm Wide Belt and 5mm Shaft,2,
,,20T Idler for 6mm Wide Belt and 5mm Shaft,2,Use the gates style ones with the small flang the ones with a bigger flang will not work.
,,GT2 6mm Belt 110cm,1,
,,10x4x3 flange Bearing,8,
,,NEMA 17 48mm,2,Use 42STH47-2504AC Speedy Power paired with 5160 Pro drivers for speed. Use 42STH48-1684MAC paired with 2209 drivers for better sensorless homing and quality.
,,Nema 17 Integrated Lead Screw 150mm,1,Should be at least 150mm but can be up to 220mm long. I like to use the trident ones and cut them down.
,Hardware,,,
,,M3x5 Ultra Low Profile Screw,1,Can also sand the head of a M3x5 or M3x6 BHCS down to clear.
,,M3x6 BHCS,2,
,,M3x8 BHCS,11,
,,M3x10 BHCS,1,
,,M3x12 BHCS,4,
,,M3x16 BHCS,7,
,,M3x20 BHCS,14,
,,M3x5 SHCS,5,
,,M3x6 SHCS,14,
,,M3x12 SHCS,2,
,,M3x8 SHCS,14,
,,M3x10 Set Screw,1,
,,6x10xM3 Standoff,1,
,,M3 Knurled Knob,4,
,,M3x5x4 Heat Set Insert,12,
,,M4x12 BHCS,4,
,,M5x8 BHCS,12,
,,M5x10 BHCS,51,
,,M5x16 BHCS,5,
,,M5x25 BHCS,4,
,,M3 Washer Nylon,11,
,,M3 Washer,27,
,,M4 Washer,4,
,,M3 Nylon Insert Nut,15,
,,M4 Nylon Insert Nut,4,Not needed if the Lower Gantry Plate shipped with clinch nuts installed.
,,M5 Nylon Insert Nut,5,
,Bed,,,
,,PCB Heater ,1,Custom PCB heater. All files are on the github and you can have it made. I am also currently going to ship them at cost to anyone interested.
,,Kapton Tape ,1,Used to mount the thermistor.
,,3950 Glass Bead Thermistor ,1,I like Crealitys ones meant for the ender 3. You can order them in a 5 pack.
,,8429T14 Ring Terminals,2,For connecting the heated bed cable to the heated bed. It has the mcmaster part number for them. 
,,Thermal Paste or Grease,,Used when inserting the thermistor to ensure proper heat transfer.
,,Spring Steel Plate,1,I get mine cut by send cut send. Needs kapton or your surface of choice adhered on.
,,Build Plate Surface,1,I like kapton but use any adhesive surface you want.
,,Adhesive Magnet,1,I like KB3Ds magnets. Needs to be cut to size and needs a hole in the middle for the center screw.
